ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u0to0.d0to50|PTBP1_M227_0.6	-3.6200371	3.6200371	4.251412	4.251412	-0.85149053	0.85149053	0.85149053	0.73963868	u0to0.d0to50	PTBP1_M227_0.6	-1.30965605711428	0.0951561077273413	1.0	1.30965605711428	0.0951561077273413	1.0	1.30965605711428	1.30965605711428	False
u0to0.d0to50|SF1_1201	14.7624611	-14.7624611	5.684273	5.684273	2.59707128	-2.59707128	2.59707128	0.30499469	u0to0.d0to50	SF1_1201	1.30347160779905	0.096206901692663	1.0	-1.30347160779905	0.096206901692663	1.0	1.30347160779905	1.30347160779905	False
u25to0.d0to25|PTBP1_s100	-7.3156332	7.3156332	3.584159	3.584159	-2.04110149	2.04110149	2.04110149	0.59511158	u25to0.d0to25	PTBP1_s100	-1.30026387530451	0.0967552724019145	1.0	1.30026387530451	0.0967552724019145	1.0	1.30026387530451	1.30026387530451	False
u25to0.d0to25|RBM41_M051_0.6	-6.0636229	6.0636229	2.983448	2.983448	-2.03242152	2.03242152	2.03242152	0.69394261	u25to0.d0to25	RBM41_M051_0.6	-1.29573582911327	0.0975332564846276	1.0	1.29573582911327	0.0975332564846276	1.0	1.29573582911327	1.29573582911327	False
u25to0.d0to25|QKI_1139	-59.31056360000001	59.31056360000001	29.215294	29.215294	-2.03012039	2.03012039	2.03012039	0.58023379	u25to0.d0to25	QKI_1139	-1.2945354075758602	0.0977402735906786	1.0	1.2945354075758602	0.0977402735906786	1.0	1.2945354075758602	1.2945354075758602	False
u0to0.d0to50|PCBP2_370	42.2192076	-42.2192076	16.460963	16.460963	2.56480784	-2.56480784	2.56480784	0.11902232	u0to0.d0to50	PCBP2_370	1.27902417368759	0.10044427168826403	1.0	-1.27902417368759	0.10044427168826403	1.0	1.27902417368759	1.27902417368759	False
u0to0.d0to50|PUM1_545	523.4845543	-523.4845543	204.102836	204.102836	2.56480784	-2.56480784	2.56480784	0.30393199	u0to0.d0to50	PUM1_545	1.27902417368759	0.10044427168826403	1.0	-1.27902417368759	0.10044427168826403	1.0	1.27902417368759	1.27902417368759	False
u0to0.d0to50|SRSF1_1216	378.2486119	-378.2486119	147.476394	147.476394	2.56480784	-2.56480784	2.56480784	0.28586609999999996	u0to0.d0to50	SRSF1_1216	1.27902417368759	0.10044427168826403	1.0	-1.27902417368759	0.10044427168826403	1.0	1.27902417368759	1.27902417368759	False
u0to0.d0to50|SRSF1_1234	515.9813204	-515.9813204	201.17738	201.17738	2.56480784	-2.56480784	2.56480784	0.24017003	u0to0.d0to50	SRSF1_1234	1.27902417368759	0.10044427168826403	1.0	-1.27902417368759	0.10044427168826403	1.0	1.27902417368759	1.27902417368759	False
u0to0.d0to50|SF1_1200	582.5852091	-582.5852091	227.145754	227.145754	2.56480784	-2.56480784	2.56480784	0.25398512	u0to0.d0to50	SF1_1200	1.27902417368759	0.10044427168826403	1.0	-1.27902417368759	0.10044427168826403	1.0	1.27902417368759	1.27902417368759	False
u0to0.d0to50|SRP14_342	8.806802699999997	-8.806802699999997	3.468904	3.468904	2.53878514	-2.53878514	2.53878514	0.57917109	u0to0.d0to50	SRP14_342	1.25930562403348	0.103959981317468	1.0	-1.25930562403348	0.103959981317468	1.0	1.25930562403348	1.25930562403348	False
u50to0.d0to0|RBMX_1377	29.753066200000006	-29.753066200000006	12.0553152	12.0553152	2.46804548	-2.46804548	2.46804548	0.29861849	u50to0.d0to0	RBMX_1377	1.22866981670601	0.10959781363320803	1.0	-1.22866981670601	0.10959781363320803	1.0	1.22866981670601	1.22866981670601	False
u50to0.d0to0|SRSF1_1234	-15.980631099999998	15.980631099999998	5.725235400000001	5.725235400000001	-2.79126187	2.79126187	2.79126187	0.22529224	u50to0.d0to0	SRSF1_1234	-1.21683303829417	0.111833873500746	1.0	1.21683303829417	0.111833873500746	1.0	1.21683303829417	1.21683303829417	False
