GSM1705375	GSM1705377
ENST00000456917	0.0	0.0
ENST00000385060	0.0	0.0
ENST00000567517	0.0	0.0
ENST00000352957	4782.529928	4777.735368
ENST00000307301	0.0	0.0
ENST00000419219	0.0	0.0
ENST00000400532	82.76604	0.0
ENST00000480456	0.0	134.521942
ENST00000312957	51.167195	0.0
ENST00000420965	0.0	0.0
ENST00000460679	0.0	0.0
ENST00000450769	0.0	0.0
ENST00000492962	0.0	0.0
ENST00000477351	0.0	0.0
ENST00000471689	0.0	0.0
ENST00000400099	0.0	0.0
ENST00000400094	1294.3434	782.2343490000001
ENST00000284971	12443.733359	6997.412943
ENST00000457143	803.589739	0.0
ENST00000400090	1447.233685	1368.32168
ENST00000400087	1580.193091	1110.4179390000002
ENST00000400093	1716.385619	1714.3651079999995
ENST00000486002	0.0	79.53533900000001
ENST00000354828	366.167359	508.584305
ENST00000400075	1077.385278	648.4330160000001
ENST00000487266	0.0	0.0
ENST00000436405	0.0	0.0
ENST00000346798	1170.444368	0.0
ENST00000354192	0.0	0.0
ENST00000348990	4568.236031	9363.077676
ENST00000357903	9551.684648	2342.67428
ENST00000359726	0.0	0.0
ENST00000440126	0.0	0.0
ENST00000439274	4014.23858	1426.8906
ENST00000464867	0.0	0.0
ENST00000358918	0.0	0.0
ENST00000617755	0.0	0.0
ENST00000456904	0.0	0.0
ENST00000596385	0.0	0.0
ENST00000599572	0.0	0.0
ENST00000597894	0.0	0.0
ENST00000600590	0.0	0.0
ENST00000596669	0.0	0.0
ENST00000516163	0.0	0.0
ENST00000448850	0.0	0.0
ENST00000415997	0.0	168.370934
ENST00000491395	0.0	201.869646
ENST00000474136	0.0	0.0
ENST00000463070	270.777018	0.0
ENST00000548570	0.0	0.0
ENST00000462267	0.0	93.512485
ENST00000466453	0.0	0.0
ENST00000455275	0.0	0.0
ENST00000608591	0.0	23.849477
ENST00000609365	0.0	0.0
ENST00000384075	0.0	0.0
ENST00000435878	0.0	0.0
ENST00000429340	0.0	0.0
ENST00000452460	0.0	0.0
ENST00000421771	0.0	0.0
ENST00000414486	0.0	0.0
ENST00000357401	0.0	0.0
ENST00000444306	0.0	0.0
ENST00000608410	0.0	0.0
ENST00000299340	0.0	0.0
ENST00000400043	0.0	0.0
ENST00000284984	5079.363525	3365.558196
ENST00000464589	622.807672	417.833623
ENST00000492656	0.0	0.0
ENST00000517777	0.0	0.0
ENST00000451462	0.0	0.0
ENST00000517452	0.0	0.0
ENST00000426771	0.0	0.0
ENST00000284987	0.0	4.851405000000001
ENST00000584048	0.0	0.0
ENST00000429271	2220.866232	991.588753
ENST00000420186	0.0	0.0
ENST00000447384	0.0	0.0
ENST00000420241	0.0	0.0
ENST00000447844	44624.257245	39941.968291000005
ENST00000406229	0.0	0.0
ENST00000426418	0.0	0.0
ENST00000411460	0.0	0.0
ENST00000425376	0.0	0.0
ENST00000442550	0.0	0.0
ENST00000433344	0.0	0.0
ENST00000324988	0.0	0.0
ENST00000426534	0.0	0.0
ENST00000458316	0.0	0.0
ENST00000631186	0.0	0.0
ENST00000423808	0.0	0.0
ENST00000616647	0.0	0.0
ENST00000436878	0.0	0.0
ENST00000453420	0.0	0.0
ENST00000609782	0.0	0.0
ENST00000433303	0.0	0.0
ENST00000437194	0.0	0.0
ENST00000433310	0.0	0.0
ENST00000430247	0.0	0.0
ENST00000412526	0.0	0.0
ENST00000455939	0.0	0.0
ENST00000452028	0.0	0.0
ENST00000637157	0.0	0.0
ENST00000303775	173.242433	551.0206459999999
ENST00000351429	421.857283	0.0
ENST00000460212	811.427235	0.0
ENST00000447985	3823.864348	3985.012506
ENST00000400014	0.0	99.173196
ENST00000361371	983.060099	694.1386650000001
ENST00000389194	7.000000000000001e-06	7.000000000000001e-06
ENST00000614971	8e-06	7.000000000000001e-06
ENST00000486427	169.520304	0.0
ENST00000475344	108.656356	0.0
ENST00000389195	27.894485	0.0
ENST00000483326	0.0	0.0
ENST00000320371	964.571243	172.328389
ENST00000493196	144.21612	31.144243
ENST00000486719	0.0	267.840393
ENST00000286777	1086.096974	0.0
ENST00000472184	0.0	606.9047889999999
ENST00000466746	183.908116	263.223274
ENST00000481411	0.0	0.0
ENST00000471269	0.0	0.0
ENST00000608809	0.0	92.761813
ENST00000399975	0.0	469.216626
ENST00000399976	2699.154106	0.0
ENST00000334352	0.0	2892.180791
ENST00000474835	258.223923	212.505648
ENST00000399973	0.0	0.0
ENST00000485067	52.393306	155.636498
ENST00000432178	0.0	0.0
