ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u25to0.d0to25|PCBP2_370	0.96532615	-0.96532615	0.1163856	0.13414917	8.2942061	-7.195916099999999	7.7645046	0.1550802	u25to0.d0to25	PCBP2_370	0.410104307123122	0.340864716650426	1.0	-0.4592177451518879	0.32303890440888106	1.0	0.4353541547885589	0.4592177451518879	False
u25to0.d0to25|RBM5_M053_0.6	0.29879911	-0.29879911	0.03940698	0.03919439	7.5823908	-7.6235177	7.602982099999998	0.802139	u25to0.d0to25	RBM5_M053_0.6	0.3724144604545511	0.35479214455448405	1.0	-0.488970068004917	0.312431443999989	1.0	0.434617221104035	0.488970068004917	False
u25to0.d0to25|SAMD4A_M061_0.6	-0.37471922	0.37471922	0.05612230000000001	0.05936785	-6.6768326	6.3118207	6.4968906	0.5454545	u25to0.d0to25	SAMD4A_M061_0.6	-0.382595924344556	0.35100969632660906	1.0	0.48064437483865	0.31538463574245	1.0	0.434395359315165	0.48064437483865	False
u50to0.d0to0|RBMX_1377	-0.765073674	0.765073674	0.08816615	0.06909868	-8.67763511	11.072189	9.94722875	0.3636364	u50to0.d0to0	RBMX_1377	-0.40387161047142894	0.34315356687359994	1.0	0.452446009434444	0.325473853966284	1.0	0.42884709932442	0.452446009434444	False
u50to0.d0to0|RBM5_M053_0.6	0.333627042	-0.333627042	0.0427229	0.03805802	7.80909166	-8.7662735	8.30148975	0.6737968000000001	u50to0.d0to0	RBM5_M053_0.6	0.362088734748154	0.358642860836209	1.0	-0.466349329618478	0.320482737244034	1.0	0.417486496228994	0.466349329618478	False
u50to0.d0to0|PTBP1_489	0.34517818	-0.34517818	0.04202437	0.04094851	8.21376263	-8.429566699999999	8.3223642	0.8502674000000001	u50to0.d0to0	PTBP1_489	0.380889429404268	0.351642648225943	1.0	-0.450755145418598	0.32608301628199	1.0	0.41728704661974	0.450755145418598	False
u50to0.d0to0|SRP19_540	-0.396162788	0.396162788	0.04179054	0.04198466	-9.47972446	9.4358931	9.45783416	0.8930481	u50to0.d0to0	SRP19_540	-0.441136050162447	0.32955725316240697	1.0	0.376662866147438	0.35321208111695296	1.0	0.410168215179655	0.441136050162447	False
u0to0.d0to50|RBM5_M145_0.6	-0.06713848	0.06713848	0.04343665	0.04636475	-1.5456642	1.4480501	1.497653	0.6524064	u0to0.d0to50	RBM5_M145_0.6	-0.377918783144814	0.3527454642595039	1.0	0.435167737669081	0.331720339256943	1.0	0.4075497310523479	0.435167737669081	False
u0to0.d0to50|RBMS1_M143_0.6	-0.03274149	0.03274149	0.02534892	0.02628337	-1.2916323	1.2457114	1.26888	0.486631	u0to0.d0to50	RBMS1_M143_0.6	-0.3646996177689421	0.35766782198086	1.0	0.42096972167930297	0.33688859589214804	1.0	0.393840905551698	0.42096972167930297	False
u25to0.d0to25|RBM14_M050_0.6	0.25025826	-0.25025826	0.03309536	0.03858346	7.5617333	-6.4861538	7.0445014000000015	0.2834225	u25to0.d0to25	RBM14_M050_0.6	0.371320668276221	0.3551993527864671	1.0	-0.409832810440445	0.34096429793842503	1.0	0.39105112913953705	0.409832810440445	False
u25to0.d0to25|RBFOX1_621	0.20158483	-0.20158483	0.028959699999999998	0.02952158	6.9608746	-6.8283897	6.8949504	0.22994650000000005	u25to0.d0to25	RBFOX1_621	0.339505853010973	0.367114344292414	1.0	-0.43364542711142295	0.332272970756003	1.0	0.389430725985609	0.43364542711142295	False
u25to0.d0to25|SART3_M062_0.6	-0.20151901	0.20151901	0.03326247	0.03657952	-6.0584508	5.5090669000000005	5.7902782	0.4385027	u25to0.d0to25	SART3_M062_0.6	-0.349853279975104	0.363224405510849	1.0	0.424789134285069	0.335495199652353	1.0	0.3891292369611911	0.424789134285069	False
u50to0.d0to0|SNRPA_M069_0.6	1.129345043	-1.129345043	0.12644339	0.17858938	8.931626	-6.323696400000001	7.73831632	0.5026738000000001	u50to0.d0to0	SNRPA_M069_0.6	0.414240796378229	0.339348883547365	1.0	-0.353224209425449	0.361960179842399	1.0	0.38494335915060496	0.414240796378229	False
u50to0.d0to0|SRSF1_167	-0.253335025	0.253335025	0.02838636	0.02944173	-8.92453303	8.604624000000001	8.76603798	0.3582888	u50to0.d0to0	SRSF1_167	-0.4153422934441901	0.33894567217782	1.0	0.338163603688025	0.36761995094404704	1.0	0.378724070784226	0.4153422934441901	False
